Time,Phi
0.0,0.0
0.005005005005005005,0.02501701679516037
0.01001001001001001,0.04998612172967849
0.015015015015015015,0.0748599473159977
0.02002002002002002,0.09959224563244637
0.025025025025025023,0.12413839180553041
0.03003003003003003,0.14845587533134763
0.035035035035035036,0.17250474134875513
0.04004004004004004,0.1962479778879688
0.04504504504504504,0.21965184245475078
0.050050050050050046,0.24268614572268712
0.055055055055055056,0.2653244159120463
0.06006006006006006,0.28754406455478576
0.06506506506506507,0.30932644945296045
0.07007007007007007,0.3306568958643478
0.07507507507507508,0.35152465435107333
0.08008008008008008,0.37192281610262024
0.08508508508508508,0.39184818940784166
0.09009009009009009,0.4113011440506344
0.09509509509509509,0.43028543266198577
0.10010010010010009,0.44880798436107466
0.10510510510510511,0.46687869652996883
0.11011011011011011,0.4845102483774159
0.11511511511511512,0.5017178641591737
0.12012012012012012,0.5185191547655984
0.12512512512512514,0.534933904460819
0.13013013013013014,0.5509839521719256
0.13513513513513514,0.5666930261290539
0.14014014014014015,0.5820866799692267
0.14514514514514515,0.5971921965521048
0.15015015015015015,0.612038596276921
0.15515515515515516,0.6266566275121532
0.16016016016016016,0.6410788687349926
0.16516516516516516,0.6553398250509733
0.17017017017017017,0.6694761570106075
0.17517517517517517,0.6835269088646098
0.18018018018018017,0.6975339156342663
0.18518518518518517,0.7115421955083396
0.19019019019019018,0.7256006239972522
0.19519519519519518,0.739762641818579
0.20020020020020018,0.7540871736992705
0.20520520520520522,0.7686398656261916
0.21021021021021022,0.7834945877356395
0.21521521521521522,0.7987353364872553
0.22022022022022023,0.8144587182977228
0.22522522522522523,0.8307771650366857
0.23023023023023023,0.8478231127194311
0.23523523523523523,0.8657545367708972
0.24024024024024024,0.8847624115599648
0.24524524524524524,0.9050808956086918
0.2502502502502503,0.9270013626839653
0.2552552552552553,0.9508923694269659
0.2602602602602603,0.9772283700880904
0.2652652652652653,1.0066322843682232
0.2702702702702703,1.0399402459377773
0.2752752752752753,1.07830331545017
0.2802802802802803,1.123353544909707
0.2852852852852853,1.17748713846571
0.2902902902902903,1.2443743716627698
0.2952952952952953,1.3299403073494833
0.3003003003003003,1.4444159761964737
0.3053053053053053,1.607126124147538
0.3103103103103103,1.8594902517020486
0.3153153153153153,2.309251440393442
0.3203203203203203,3.351760266959964
0.3253253253253253,8.53775090841361
0.3303303303303303,173.13655124921092
0.3353353353353353,178.20621411985456
0.34034034034034033,179.2392547298232
0.34534534534534533,179.6864033684177
0.35035035035035034,179.9376920925488
0.35535535535535534,180.0998579930584
0.36036036036036034,180.2140208361808
0.36536536536536535,180.29939071697288
0.37037037037037035,180.36614714977048
0.37537537537537535,180.42018925977098
0.38038038038038036,180.46517310896178
0.38538538538538536,180.50348659722155
0.39039039039039036,180.5367566310863
0.39539539539539537,180.56613098781287
0.40040040040040037,180.592443590869
0.40540540540540543,180.61631584373023
0.41041041041041043,180.63822113686663
0.41541541541541543,180.65852724541784
0.42042042042042044,180.67752499045477
0.42542542542542544,180.69544808966407
0.43043043043043044,180.71248720183846
0.43543543543543545,180.72880006084702
0.44044044044044045,180.74451890203378
0.44544544544544545,180.75975600033843
0.45045045045045046,180.77460784844467
0.45545545545545546,180.78915835051285
0.46046046046046046,180.80348128773127
0.46546546546546547,180.81764224108062
0.47047047047047047,180.83170009950072
0.4754754754754755,180.84570824877449
0.4804804804804805,180.8597155163573
0.4854854854854855,180.87376691706473
0.4904904904904905,180.88790424410283
0.4954954954954955,180.90216653083306
0.5005005005005005,180.9165904077264
0.5055055055055055,180.93121037040999
0.5105105105105106,180.9460589721135
0.5155155155155156,180.96116695578695
0.5205205205205206,180.97656331761726
0.5255255255255256,180.9922753335883
0.5305305305305306,181.00832853431197
0.5355355355355356,181.02474664013067
0.5405405405405406,181.04155146405125
0.5455455455455456,181.05876278141656
0.5505505505505506,181.0763981748046
0.5555555555555556,181.0944728562993
0.5605605605605606,181.11299947443376
0.5655655655655656,181.1319879096489
0.5705705705705706,181.15144506576658
0.5755755755755756,181.1713746643296
0.5805805805805806,181.1917770428454
0.5855855855855856,181.21264897853575
0.5905905905905906,181.23398353087822
0.5955955955955956,181.25576991403906
0.6006006006006006,181.27799341950288
0.6056056056056056,181.3006353715186
0.6106106106106106,181.32367314673422
0.6156156156156156,181.34708025029667
0.6206206206206206,181.370826445001
0.6256256256256256,181.39487796557307
0.6306306306306306,181.41919777041258
0.6356356356356356,181.44374588118976
0.6406406406406406,181.46847977088117
0.6456456456456456,181.4933547914301
0.6506506506506506,181.51832469025388
0.6556556556556556,181.54334208955206
0.6606606606606606,181.56835908045983
0.6656656656656657,181.5933277322347
0.6706706706706707,181.6182007080888
0.6756756756756757,181.64293179018952
0.6806806806806807,181.6674763452346
0.6856856856856857,181.6917918605389
0.6906906906906907,181.71583842354448
0.6956956956956957,181.73957906720983
0.7007007007007007,181.7629800682452
0.7057057057057057,181.7860112430121
0.7107107107107107,181.80864617023974
0.7157157157157157,181.83086229560237
0.7207207207207207,181.8526410135895
0.7257257257257257,181.87396767707673
0.7307307307307307,181.8948315735355
0.7357357357357357,181.91522582287212
0.7407407407407407,181.93514726870524
0.7457457457457457,181.9545963078105
0.7507507507507507,181.9735767189549
0.7557557557557557,181.99209545694038
0.7607607607607607,182.01016245323302
0.7657657657657657,182.02779040202677
0.7707707707707707,182.04499455802164
0.7757757757757757,182.061792543498
0.7807807807807807,182.07820416969432
0.7857857857857857,182.0942512845934
0.7907907907907907,182.10995763989743
0.7957957957957957,182.1253487974878
0.8008008008008007,182.14045206191267
