Time,Theta
0.0,40.0
0.005005005005005005,40.00000268056051
0.01001001001001001,40.000010722240894
0.015015015015015015,40.000024125038465
0.02002002002002002,40.00004288894593
0.025025025025025023,40.00006701393477
0.03003003003003003,40.000096499987265
0.035035035035035036,40.00013134709288
0.04004004004004004,40.00017155524107
0.04504504504504504,40.000217124421305
0.050050050050050046,40.00026805462306
0.055055055055055056,40.00032434583579
0.06006006006006006,40.00038599804896
0.06506506506506507,40.00045301125204
0.07007007007007007,40.00052538543449
0.07507507507507508,40.00060312058579
0.08008008008008008,40.00068621669425
0.08508508508508508,40.00077467366251
0.09009009009009009,40.00086849141038
0.09509509509509509,40.00096766990555
0.10010010010010009,40.001072209115684
0.10510510510510511,40.00118210900846
0.11011011011011011,40.00129736955155
0.11511511511511512,40.00141799071264
0.12012012012012012,40.00154397245941
0.12512512512512514,40.001675314759524
0.13013013013013014,40.00181201758066
0.13513513513513514,40.001954080890506
0.14014014014014015,40.002101504656736
0.14514514514514515,40.00225428877956
0.15015015015015015,40.00241243312119
0.15515515515515516,40.0025759376242
0.16016016016016016,40.002744802231604
0.16516516516516516,40.002919026886396
0.17017017017017017,40.003098611531584
0.17517517517517517,40.00328355611018
0.18018018018018017,40.00347386056519
0.18518518518518517,40.00366952483961
0.19019019019019018,40.003870548876456
0.19519519519519518,40.00407693261874
0.20020020020020018,40.00428867600945
0.20520520520520522,40.004505777478045
0.21021021021021022,40.00472824024118
0.21521521521521522,40.004956062176355
0.22022022022022023,40.00518924322212
0.22522522522522523,40.005427783314936
0.23023023023023023,40.00567168238926
0.23523523523523523,40.005920940377514
0.24024024024024024,40.00617555721011
0.24524524524524524,40.0064355328154
0.2502502502502503,40.00670086711974
0.2552552552552553,40.00697156004744
0.2602602602602603,40.00724761152077
0.2652652652652653,40.007529021424006
0.2702702702702703,40.007815789462
0.2752752752752753,40.0081079155039
0.2802802802802803,40.00840539944938
0.2852852852852853,40.00870824119584
0.2902902902902903,40.00901644063845
0.2952952952952953,40.00932999767007
0.3003003003003003,40.00964891218132
0.3053053053053053,40.009973184060556
0.3103103103103103,40.01030281319384
0.3153153153153153,40.010637799464995
0.3203203203203203,40.01097814275558
0.3253253253253253,40.01132384294487
0.3303303303303303,40.011674899909885
0.3353353353353353,40.012031313525355
0.34034034034034033,40.012393083663795
0.34534534534534533,40.01276021019539
0.35035035035035034,40.01313269298811
0.35535535535535534,40.01351053190763
0.36036036036036034,40.01389372681737
0.36536536536536535,40.014282277578495
0.37037037037037035,40.01467618404987
0.37537537537537535,40.01507544608812
0.38038038038038036,40.01548006354759
0.38538538538538536,40.01589003628038
0.39039039039039036,40.01630536413631
0.39539539539539537,40.01672604696292
0.40040040040040037,40.01715208460551
0.40540540540540543,40.01758347690709
0.41041041041041043,40.01802022370842
0.41541541541541543,40.018462324847995
0.42042042042042044,40.01890978016202
0.42542542542542544,40.019362589484466
0.43043043043043044,40.01982075264701
0.43543543543543545,40.02028426947908
0.44044044044044045,40.02075313980782
0.44544544544544545,40.02122736345815
0.45045045045045046,40.02170694025267
0.45545545545545546,40.022191870011746
0.46046046046046046,40.02268215255345
0.46546546546546547,40.02317778769363
0.47047047047047047,40.02367877524585
0.4754754754754755,40.024185115021375
0.4804804804804805,40.02469680682925
0.4854854854854855,40.02521385047623
0.4904904904904905,40.025736245766794
0.4954954954954955,40.02626399250318
0.5005005005005005,40.02679709048537
0.5055055055055055,40.027335539511014
0.5105105105105106,40.02787933937557
0.5155155155155156,40.0284284898722
0.5205205205205206,40.028982990791775
0.5255255255255256,40.02954284192295
0.5305305305305306,40.030108043052074
0.5355355355355356,40.030678593963245
0.5405405405405406,40.031254494438286
0.5455455455455456,40.031835744256774
0.5505505505505506,40.03242234319599
0.5555555555555556,40.03301429103099
0.5605605605605606,40.033611587551356
0.5655655655655656,40.03421423258875
0.5705705705705706,40.034822225920664
0.5755755755755756,40.03543556731729
0.5805805805805806,40.03605425654666
0.5855855855855856,40.03667829337459
0.5905905905905906,40.0373076775647
0.5955955955955956,40.037942408878415
0.6006006006006006,40.03858248707496
0.6056056056056056,40.03922791191138
0.6106106106106106,40.0398786831425
0.6156156156156156,40.04053480052096
0.6206206206206206,40.0411962637972
0.6256256256256256,40.041863072719465
0.6306306306306306,40.04253522703382
0.6356356356356356,40.04321272648409
0.6406406406406406,40.04389557081196
0.6456456456456456,40.044583759756854
0.6506506506506506,40.045277293056074
0.6556556556556556,40.045976170444646
0.6606606606606606,40.046680391655464
0.6656656656656657,40.047389956419195
0.6706706706706707,40.04810486446431
0.6756756756756757,40.04882511551708
0.6806806806806807,40.0495507093016
0.6856856856856857,40.05028164553975
0.6906906906906907,40.051017923951214
0.6956956956956957,40.05175954425349
0.7007007007007007,40.05250650616186
0.7057057057057057,40.05325880938943
0.7107107107107107,40.054016453647115
0.7157157157157157,40.05477943864361
0.7207207207207207,40.0555477640854
0.7257257257257257,40.05632142967682
0.7307307307307307,40.057100435119985
0.7357357357357357,40.057884780114804
0.7407407407407407,40.058674464359
0.7457457457457457,40.0594694875481
0.7507507507507507,40.06026984937543
0.7557557557557557,40.06107554953212
0.7607607607607607,40.06188658770709
0.7657657657657657,40.06270296358711
0.7707707707707707,40.063524676856694
0.7757757757757757,40.0643517271982
0.7807807807807807,40.06518411429176
0.7857857857857857,40.066021837815335
0.7907907907907907,40.066864897444674
0.7957957957957957,40.06771329285334
0.8008008008008007,40.06856702371269
0.8058058058058059,40.06942608969188
0.8108108108108109,40.070290490457886
0.8158158158158159,40.071160225675484
