Time,Psi
0.0,0.0
0.005005005005005005,1.2224175813143093e-09
0.01001001001001001,6.374814323199967e-09
0.015015015015015015,1.931220036026985e-08
0.02002002002002002,4.4483501656561356e-08
0.025025025025025023,8.426446976431111e-08
0.03003003003003003,1.4311946689321e-07
0.035035035035035036,2.2525458126421835e-07
0.04004004004004004,3.3487590109829987e-07
0.04504504504504504,4.761895146164161e-07
0.050050050050050046,6.534015100395288e-07
0.055055055055055056,8.707179755886001e-07
0.06006006006006006,1.1323449994845922e-06
0.06506506506506507,1.4424886699484675e-06
0.07007007007007007,1.8053550752011867e-06
0.07507507507507508,2.2251503034637126e-06
0.08008008008008008,2.706069895698883e-06
0.08508508508508508,3.2515182305384614e-06
0.09009009009009009,3.865058100758967e-06
0.09509509509509509,4.55069438801056e-06
0.10010010010010009,5.312431973943399e-06
0.10510510510510511,6.154275740207646e-06
0.11011011011011011,7.08023056845346e-06
0.11511511511511512,8.094301340331002e-06
0.12012012012012012,9.20049293749043e-06
0.12512512512512514,1.040281024158191e-05
0.13013013013013014,1.1705258134255598e-05
0.13513513513513514,1.3111841497161652e-05
0.14014014014014015,1.4626565211950235e-05
0.14514514514514515,1.625342857342884e-05
0.15015015015015015,1.799642772821736e-05
0.15515515515515516,1.9859565478409955e-05
0.16016016016016016,2.184684466239286e-05
0.16516516516516516,2.3962268118552285e-05
0.17017017017017017,2.620983868527447e-05
0.17517517517517517,2.8593559200945646e-05
0.18018018018018017,3.111743250395203e-05
0.18518518518518517,3.378546143267986e-05
0.19019019019019018,3.660164882551536e-05
0.19519519519519518,3.956999752084475e-05
0.20020020020020018,4.2694510357054274e-05
0.20520520520520522,4.5978992882986615e-05
0.21021021021021022,4.942787464942551e-05
0.21521521521521522,5.3044889264422735e-05
0.22022022022022023,5.683403898036251e-05
0.22522522522522523,6.0799325785247824e-05
0.23023023023023023,6.49447514027005e-05
0.23523523523523523,6.927431729196111e-05
0.24024024024024024,7.379202464788908e-05
0.24524524524524524,7.850187440096258e-05
0.2502502502502503,8.340786721727863e-05
0.2552552552552553,8.851400349855301e-05
0.2602602602602603,9.382428338212029e-05
0.2652652652652653,9.9342694035099e-05
0.2702702702702703,0.00010507315974952981
0.2752752752752753,0.00011101966325656256
0.2802802802802803,0.0001171861985203331
0.2852852852852853,0.00012357675915656007
0.2902902902902903,0.00013019533843254623
0.2952952952952953,0.0001370459292671765
0.3003003003003003,0.0001441325242309196
0.3053053053053053,0.0001514591155458273
0.3103103103103103,0.00015902969508553482
0.3153153153153153,0.00016684825437526023
0.3203203203203203,0.00017491878459180495
0.3253253253253253,0.00018324527656355378
0.3303303303303303,0.00019183172077047477
0.3353353353353353,0.00020068210734411863
0.34034034034034033,0.00020980042606762007
0.34534534534534533,0.00021919066637569645
0.35035035035035034,0.00022885681735464845
0.35535535535535534,0.0002388028677423602
0.36036036036036034,0.0002490328059282989
0.36536536536536535,0.0002595506199535149
0.37037037037037035,0.0002703602975106419
0.37537537537537535,0.00028146582594389656
0.38038038038038036,0.00029287119224907906
0.38538538538538536,0.0003045803830735727
0.39039039039039036,0.000316597384716344
0.39539539539539537,0.0003289261831279426
0.40040040040040037,0.00034157076391050134
0.40540540540540543,0.0003545351123177366
0.41041041041041043,0.0003678232132549473
0.41541541541541543,0.0003814390512790164
0.42042042042042044,0.00039538661059840963
0.42542542542542544,0.00040966987507317585
0.43043043043043044,0.0004242928282149474
0.43543543543543545,0.0004392594531869397
0.44044044044044045,0.0004545737328039513
0.44544544544544545,0.00047023964953236405
0.45045045045045046,0.00048626118549014325
0.45545545545545546,0.0005026423224468369
0.46046046046046046,0.0005193870418235768
0.46546546546546547,0.0005364993246930775
0.47047047047047047,0.000553983151779637
0.4754754754754755,0.0005718425034591365
0.4804804804804805,0.0005900813597590403
0.4854854854854855,0.0006087037003583959
0.4904904904904905,0.0006277135045878343
0.4954954954954955,0.0006471147514295695
0.5005005005005005,0.000666911419517399
0.5055055055055055,0.0006871074871367027
0.5105105105105106,0.0007077069322244443
0.5155155155155156,0.0007287137323691712
0.5205205205205206,0.0007501318648110131
0.5255255255255256,0.0007719653064416836
0.5305305305305306,0.0007942180338044787
0.5355355355355356,0.0008168940230942789
0.5405405405405406,0.0008399972501575465
0.5455455455455456,0.0008635316904923282
0.5505505505505506,0.0008875013192482531
0.5555555555555556,0.0009119101112265338
0.5605605605605606,0.0009367619675803989
0.5655655655655656,0.0009620605963684696
0.5705705705705706,0.0009878099311148953
0.5755755755755756,0.0010140139267490777
0.5805805805805806,0.0010406765375491293
0.5855855855855856,0.0010678017171418714
0.5905905905905906,0.0010953934185028373
0.5955955955955956,0.0011234555939562676
0.6006006006006006,0.0011519921951751145
0.6056056056056056,0.0011810071731810387
0.6106106106106106,0.001210504478344411
0.6156156156156156,0.0012404880603843127
0.6206206206206206,0.0012709618683685341
0.6256256256256256,0.001301929850713576
0.6306306306306306,0.0013333959551846484
0.6356356356356356,0.0013653641288956715
0.6406406406406406,0.001397838318309275
0.6456456456456456,0.001430822469236798
0.6506506506506506,0.0014643205268382912
0.6556556556556556,0.0014983364356225125
0.6606606606606606,0.0015328741394469317
0.6656656656656657,0.0015679375815177278
0.6706706706706707,0.0016035307043897888
0.6756756756756757,0.0016396574499667135
0.6806806806806807,0.0016763217595008094
0.6856856856856857,0.0017135275735930958
0.6906906906906907,0.0017512788321933
0.6956956956956957,0.0017895794745998593
0.7007007007007007,0.0018284334394599213
0.7057057057057057,0.001867844664769343
0.7107107107107107,0.0019078170878726913
0.7157157157157157,0.0019483546454632445
